Date,Flood_Depth
8/1/2014 13:00,2.52
8/1/2014 14:00,2.45
8/1/2014 15:00,1.83
8/1/2014 16:00,0.88
8/1/2014 22:00,0.42
8/1/2014 23:00,1.48
8/2/2014 0:00,2.19
8/2/2014 1:00,2.55
8/2/2014 11:00,1.1
8/2/2014 12:00,2.04
8/2/2014 13:00,2.63
8/2/2014 14:00,3.12
8/2/2014 15:00,3.16
8/2/2014 16:00,2.46
8/2/2014 17:00,1.44
8/2/2014 18:00,0.22
8/2/2014 23:00,1.1
8/3/2014 0:00,1.85
8/3/2014 1:00,2.36
8/3/2014 2:00,2.65
8/3/2014 3:00,2.51
8/3/2014 4:00,1.81
8/3/2014 5:00,0.77
8/3/2014 11:00,0.33
8/3/2014 12:00,1.43
8/3/2014 13:00,2.28
8/3/2014 14:00,2.84
8/3/2014 15:00,3.06
8/3/2014 15:00,3.06
8/3/2014 16:00,2.69
8/3/2014 17:00,1.79
8/3/2014 18:00,0.71
8/4/2014 0:00,0.85
8/4/2014 1:00,1.71
8/4/2014 2:00,2.27
8/4/2014 3:00,2.63
8/4/2014 4:00,2.37
8/4/2014 5:00,1.57
8/4/2014 6:00,0.5
8/4/2014 12:00,0.49
8/4/2014 13:00,1.64
8/4/2014 14:00,2.38
8/4/2014 15:00,2.85
8/4/2014 16:00,3.06
8/4/2014 16:00,3.06
8/4/2014 17:00,2.7
8/4/2014 18:00,1.92
8/4/2014 19:00,0.92
8/5/2014 1:00,0.81
8/5/2014 2:00,1.63
8/5/2014 3:00,2.16
8/5/2014 4:00,2.45
8/5/2014 4:00,2.45
8/5/2014 5:00,2.21
8/5/2014 6:00,1.45
8/5/2014 7:00,0.45
8/5/2014 13:00,0.67
8/5/2014 14:00,1.78
8/5/2014 15:00,2.6
8/5/2014 16:00,3.15
8/5/2014 17:00,3.39
8/5/2014 17:00,3.39
8/5/2014 18:00,3.05
8/5/2014 19:00,2.25
8/5/2014 20:00,1.16
8/6/2014 2:00,0.72
8/6/2014 3:00,1.78
8/6/2014 4:00,2.32
8/6/2014 5:00,2.54
8/6/2014 5:00,2.54
8/6/2014 6:00,2.26
8/6/2014 7:00,1.43
8/6/2014 8:00,0.52
8/6/2014 14:00,0.54
8/6/2014 15:00,1.84
8/6/2014 16:00,2.8
8/6/2014 17:00,3.36
8/6/2014 18:00,3.49
8/6/2014 19:00,3.02
8/6/2014 20:00,2.18
8/6/2014 21:00,1.04
8/7/2014 3:00,0.48
8/7/2014 4:00,1.66
8/7/2014 5:00,2.37
8/7/2014 6:00,2.61
8/7/2014 7:00,2.43
8/7/2014 8:00,1.71
8/7/2014 9:00,0.67
8/7/2014 15:00,0.61
8/7/2014 16:00,1.93
8/7/2014 17:00,2.87
8/7/2014 18:00,3.42
8/7/2014 19:00,3.69
8/7/2014 20:00,3.38
8/7/2014 21:00,2.52
8/7/2014 22:00,1.28
8/8/2014 4:00,0.39
8/8/2014 5:00,1.6
8/8/2014 6:00,2.44
8/8/2014 7:00,2.92
8/8/2014 8:00,2.75
8/8/2014 9:00,1.93
8/8/2014 10:00,0.78
8/8/2014 16:00,0.24
8/8/2014 17:00,1.78
8/8/2014 18:00,2.85
8/8/2014 19:00,3.5
8/8/2014 20:00,3.8
8/8/2014 20:00,3.8
8/8/2014 21:00,3.43
8/8/2014 22:00,2.51
8/8/2014 23:00,1.22
8/9/2014 6:00,1.6
8/9/2014 7:00,2.53
8/9/2014 8:00,3.06
8/9/2014 9:00,2.87
8/9/2014 10:00,2.05
8/9/2014 11:00,0.84
8/9/2014 17:00,0.18
8/9/2014 18:00,1.83
8/9/2014 19:00,2.95
8/9/2014 20:00,3.72
8/9/2014 21:00,4.07
8/9/2014 21:00,4.07
8/9/2014 22:00,3.66
8/9/2014 23:00,2.69
8/10/2014 0:00,1.33
8/10/2014 6:00,0.45
8/10/2014 7:00,1.92
8/10/2014 8:00,2.92
8/10/2014 9:00,3.43
8/10/2014 10:00,3.24
8/10/2014 11:00,2.41
8/10/2014 12:00,1.15
8/10/2014 18:00,0.43
8/10/2014 19:00,2.08
8/10/2014 20:00,3.18
8/10/2014 21:00,3.93
8/10/2014 22:00,4.23
8/10/2014 22:00,4.23
8/10/2014 23:00,3.72
8/11/2014 0:00,2.69
8/11/2014 1:00,1.25
